Age,StudyHoursPerWeek,GPA,MotivationLevel,StressLevel,AttentionSpan,FeedbackScore,LearningStyle,Strength,Weakness,Preference,Performance
26,5,3.44,6,4,6,7,Reading/Writing,Evaluation,Memory,Online Learning,Average
24,5,3.37,7,3,7,9,Auditory,Comprehension,Memory,Group Study,Average
19,38,3.81,7,4,7,8,Auditory,Evaluation,Organization,Classroom Learning,Average
21,36,3.05,6,1,9,8,Auditory,Application,Memory,Group Study,Average
26,29,3.96,8,1,7,8,Kinesthetic,Application,Attention,Group Study,Good
29,5,3.65,8,4,7,8,Kinesthetic,Application,Focus,Group Study,Average
19,20,3.04,9,1,9,8,Reading/Writing,Application,Organization,Online Learning,Average
27,9,3.68,6,2,7,9,Reading/Writing,Comprehension,Memory,Group Study,Average
26,26,3.44,6,2,8,9,Kinesthetic,Analysis,Attention,Group Study,Average
27,33,3.65,7,4,6,8,Visual,Comprehension,Focus,Classroom Learning,Average
22,7,3.72,6,2,6,7,Kinesthetic,Evaluation,Focus,Classroom Learning,Average
19,16,2.9,8,2,6,9,Auditory,Comprehension,Organization,Group Study,Average
21,30,3.41,6,3,6,7,Kinesthetic,Comprehension,Organization,Classroom Learning,Average
29,20,3.92,7,3,9,9,Auditory,Evaluation,Organization,Classroom Learning,Average
29,26,3.18,9,2,6,8,Reading/Writing,Application,Attention,Group Study,Average
24,33,3.51,7,4,6,9,Visual,Application,Attention,Online Learning,Average
29,18,3.24,7,3,6,8,Reading/Writing,Application,Organization,Group Study,Average
25,32,3.35,9,1,6,9,Auditory,Analysis,Memory,Classroom Learning,Good
20,9,3.46,7,1,8,8,Auditory,Evaluation,Focus,Online Learning,Average
18,34,3.46,7,1,6,8,Auditory,Evaluation,Focus,Solo Study,Average
21,9,3.04,6,4,8,8,Visual,Comprehension,Attention,Online Learning,Average
19,16,3.62,6,2,9,8,Kinesthetic,Analysis,Focus,Classroom Learning,Average
25,20,2.91,9,1,7,7,Reading/Writing,Application,Memory,Online Learning,Average
21,30,2.97,6,4,6,8,Reading/Writing,Analysis,Focus,Group Study,Average
19,30,2.8,6,3,7,7,Kinesthetic,Evaluation,Attention,Solo Study,Average
23,25,2.94,7,2,7,7,Reading/Writing,Evaluation,Attention,Solo Study,Average
23,37,3.37,8,3,9,8,Visual,Comprehension,Memory,Solo Study,Good
27,34,3.53,6,4,7,7,Reading/Writing,Comprehension,Memory,Classroom Learning,Average
21,27,3.75,8,1,8,9,Auditory,Evaluation,Focus,Classroom Learning,Good
23,14,2.93,6,1,7,8,Kinesthetic,Application,Focus,Solo Study,Average
19,9,3.82,6,4,7,7,Visual,Application,Attention,Online Learning,Average
27,38,3.7,9,1,7,8,Kinesthetic,Analysis,Memory,Solo Study,Good
29,35,3.29,9,2,6,8,Visual,Evaluation,Memory,Online Learning,Good
19,14,3.92,9,4,6,8,Auditory,Evaluation,Memory,Online Learning,Average
27,23,3.99,8,3,8,7,Kinesthetic,Application,Focus,Classroom Learning,Good
21,36,3.05,7,4,8,9,Reading/Writing,Application,Memory,Online Learning,Average
25,5,3.26,6,2,6,9,Visual,Evaluation,Attention,Solo Study,Average
24,9,3.91,6,2,8,7,Kinesthetic,Comprehension,Attention,Classroom Learning,Average
29,8,3.67,6,4,6,8,Reading/Writing,Evaluation,Focus,Group Study,Average
26,20,2.86,8,4,9,7,Kinesthetic,Evaluation,Organization,Group Study,Average
25,28,3.74,9,1,7,7,Kinesthetic,Application,Focus,Classroom Learning,Excellent
22,20,3.79,7,2,7,7,Kinesthetic,Application,Organization,Solo Study,Average
19,6,3.7,8,4,8,8,Visual,Comprehension,Memory,Group Study,Average
22,32,3.76,9,4,6,7,Reading/Writing,Comprehension,Focus,Group Study,Excellent
25,36,3.79,8,2,6,8,Auditory,Analysis,Attention,Online Learning,Good
27,31,3.02,7,4,8,7,Visual,Evaluation,Memory,Online Learning,Average
26,24,3.08,9,1,6,9,Visual,Application,Attention,Solo Study,Average
29,28,3.56,8,2,9,7,Visual,Comprehension,Memory,Classroom Learning,Good
29,16,3.89,7,1,7,7,Auditory,Analysis,Focus,Solo Study,Average
29,39,3.18,6,1,8,9,Reading/Writing,Analysis,Organization,Classroom Learning,Average
26,37,3.51,7,1,8,8,Reading/Writing,Application,Memory,Group Study,Average
18,37,3.62,6,1,6,8,Reading/Writing,Application,Organization,Online Learning,Average
26,16,3.34,8,2,8,7,Kinesthetic,Analysis,Memory,Solo Study,Good
24,7,3.66,9,1,9,9,Kinesthetic,Comprehension,Attention,Solo Study,Average
26,5,3.88,9,1,6,8,Kinesthetic,Analysis,Attention,Classroom Learning,Average
25,37,3.55,8,4,6,7,Auditory,Evaluation,Memory,Classroom Learning,Good
18,14,3.45,9,2,6,9,Kinesthetic,Evaluation,Organization,Solo Study,Average
29,33,3.33,9,2,6,8,Auditory,Application,Focus,Classroom Learning,Good
25,17,3.49,6,3,9,8,Reading/Writing,Comprehension,Focus,Solo Study,Average
25,16,3.23,8,2,6,9,Kinesthetic,Comprehension,Attention,Solo Study,Good
28,35,3.27,7,2,8,9,Kinesthetic,Evaluation,Focus,Solo Study,Average
20,6,3.44,6,3,9,9,Visual,Analysis,Attention,Group Study,Average
18,39,2.88,8,2,7,9,Auditory,Application,Focus,Classroom Learning,Average
25,27,3.07,6,2,7,7,Reading/Writing,Analysis,Memory,Online Learning,Average
20,21,3.45,7,2,8,9,Visual,Analysis,Attention,Online Learning,Average
20,30,3.32,7,2,8,8,Visual,Analysis,Attention,Classroom Learning,Average
18,12,3.2,8,3,9,8,Reading/Writing,Comprehension,Memory,Solo Study,Average
28,33,3.68,7,2,7,7,Visual,Evaluation,Attention,Online Learning,Average
22,30,3.63,6,2,7,8,Auditory,Comprehension,Focus,Online Learning,Average
27,14,3.0,7,3,7,8,Auditory,Evaluation,Focus,Classroom Learning,Average
24,30,3.85,6,4,7,9,Kinesthetic,Application,Attention,Online Learning,Average
27,38,3.39,6,1,7,8,Visual,Application,Focus,Solo Study,Average
26,11,3.69,7,4,6,7,Kinesthetic,Analysis,Organization,Classroom Learning,Average
29,8,3.49,8,3,8,9,Visual,Evaluation,Attention,Solo Study,Average
24,15,4.0,9,1,6,9,Auditory,Evaluation,Memory,Online Learning,Average
26,33,3.7,7,3,7,7,Auditory,Evaluation,Organization,Online Learning,Average
25,29,3.65,6,3,9,9,Auditory,Analysis,Attention,Solo Study,Average
29,25,3.73,6,2,9,9,Visual,Analysis,Memory,Group Study,Average
19,14,2.97,7,1,7,7,Auditory,Application,Focus,Online Learning,Average
18,13,3.05,8,2,7,9,Visual,Comprehension,Memory,Group Study,Average
24,28,3.66,8,1,9,7,Kinesthetic,Evaluation,Organization,Online Learning,Good
24,39,3.39,6,3,6,7,Visual,Evaluation,Focus,Group Study,Average
25,39,3.71,6,3,6,8,Kinesthetic,Comprehension,Attention,Group Study,Average
22,22,2.92,8,4,7,8,Visual,Evaluation,Focus,Group Study,Average
20,36,3.44,9,1,6,9,Kinesthetic,Analysis,Attention,Solo Study,Good
29,28,3.25,7,2,9,9,Auditory,Analysis,Attention,Group Study,Average
25,27,3.35,6,4,6,7,Kinesthetic,Evaluation,Memory,Group Study,Average
23,36,3.52,6,4,7,9,Auditory,Analysis,Memory,Group Study,Average
28,16,3.4,8,4,9,7,Auditory,Analysis,Memory,Online Learning,Good
20,17,3.45,7,2,6,7,Kinesthetic,Evaluation,Organization,Group Study,Average
18,27,3.38,8,4,8,9,Visual,Application,Organization,Online Learning,Good
20,29,3.29,7,2,9,7,Visual,Comprehension,Memory,Group Study,Average
22,39,3.73,7,4,9,8,Reading/Writing,Analysis,Organization,Group Study,Average
20,34,2.81,7,2,8,9,Visual,Application,Focus,Solo Study,Average
18,21,3.52,6,3,8,8,Reading/Writing,Analysis,Focus,Online Learning,Average
22,24,3.48,9,3,9,9,Visual,Analysis,Organization,Group Study,Good
27,29,3.66,8,3,8,7,Visual,Comprehension,Organization,Online Learning,Good
24,26,3.52,9,3,7,9,Auditory,Analysis,Focus,Online Learning,Good
24,17,3.79,8,3,7,8,Reading/Writing,Comprehension,Attention,Classroom Learning,Good
28,23,3.95,7,4,7,7,Visual,Comprehension,Focus,Solo Study,Average
26,16,3.21,6,4,9,9,Reading/Writing,Comprehension,Focus,Solo Study,Average
27,23,3.07,9,4,8,9,Auditory,Application,Organization,Solo Study,Average
27,16,3.31,6,2,8,9,Auditory,Evaluation,Focus,Classroom Learning,Average
29,13,3.15,8,2,6,8,Reading/Writing,Application,Organization,Classroom Learning,Average
20,11,3.54,6,2,6,8,Auditory,Evaluation,Organization,Solo Study,Average
24,32,3.89,6,2,8,9,Kinesthetic,Evaluation,Memory,Classroom Learning,Average
18,18,2.97,9,3,8,7,Kinesthetic,Comprehension,Focus,Classroom Learning,Average
21,35,2.92,7,3,8,7,Auditory,Analysis,Attention,Classroom Learning,Average
21,23,3.11,6,3,9,8,Kinesthetic,Comprehension,Memory,Solo Study,Average
22,20,3.67,7,1,8,7,Visual,Analysis,Organization,Solo Study,Average
24,9,3.51,8,4,6,8,Reading/Writing,Evaluation,Organization,Solo Study,Average
24,39,2.92,6,2,9,9,Visual,Comprehension,Attention,Classroom Learning,Average
28,16,3.9,9,2,8,8,Reading/Writing,Analysis,Organization,Solo Study,Good
21,29,3.75,8,3,6,8,Auditory,Application,Focus,Classroom Learning,Good
24,25,2.83,8,2,9,9,Visual,Analysis,Memory,Group Study,Average
28,27,3.58,9,2,8,7,Auditory,Comprehension,Organization,Classroom Learning,Good
20,20,3.73,6,4,8,8,Auditory,Application,Organization,Online Learning,Average
23,18,3.25,6,3,8,8,Reading/Writing,Analysis,Attention,Solo Study,Average
29,35,2.88,8,4,9,9,Reading/Writing,Analysis,Focus,Solo Study,Average
19,9,2.89,6,1,6,7,Reading/Writing,Analysis,Organization,Online Learning,Average
27,39,2.93,7,1,6,8,Visual,Analysis,Attention,Classroom Learning,Average
26,27,3.81,9,1,7,9,Kinesthetic,Analysis,Organization,Group Study,Excellent
22,33,3.89,7,3,8,8,Reading/Writing,Application,Attention,Online Learning,Average
23,15,2.95,6,2,7,9,Reading/Writing,Evaluation,Attention,Online Learning,Average
29,22,3.08,8,3,7,7,Visual,Application,Focus,Classroom Learning,Average
29,16,3.0,9,3,6,7,Reading/Writing,Application,Organization,Solo Study,Average
29,13,3.02,6,2,9,7,Visual,Application,Focus,Classroom Learning,Average
29,14,3.8,6,4,9,7,Auditory,Evaluation,Attention,Online Learning,Average
21,21,3.2,8,1,6,8,Reading/Writing,Comprehension,Memory,Online Learning,Average
28,11,3.17,8,4,9,8,Reading/Writing,Evaluation,Organization,Solo Study,Average
27,17,3.07,7,1,7,7,Auditory,Application,Memory,Solo Study,Average
24,13,3.53,9,3,8,7,Auditory,Analysis,Organization,Solo Study,Average
29,31,3.26,9,1,6,7,Auditory,Analysis,Focus,Classroom Learning,Good
26,6,3.69,8,3,8,8,Reading/Writing,Application,Focus,Solo Study,Average
24,9,3.05,7,4,9,7,Kinesthetic,Analysis,Focus,Online Learning,Average
18,33,3.75,9,3,8,7,Kinesthetic,Application,Focus,Online Learning,Excellent
18,23,3.52,8,4,9,7,Kinesthetic,Analysis,Focus,Group Study,Good
26,12,2.94,6,2,9,9,Reading/Writing,Evaluation,Memory,Classroom Learning,Average
28,5,3.3,9,2,7,7,Auditory,Comprehension,Focus,Group Study,Average
26,26,3.84,7,2,9,9,Reading/Writing,Comprehension,Attention,Online Learning,Average
21,21,3.91,7,3,7,9,Auditory,Evaluation,Attention,Group Study,Average
26,11,3.36,7,2,7,7,Reading/Writing,Evaluation,Memory,Online Learning,Average
20,29,3.38,6,1,7,9,Reading/Writing,Application,Organization,Group Study,Average
24,8,3.9,9,4,6,7,Auditory,Application,Attention,Solo Study,Average
23,10,3.5,9,4,6,8,Kinesthetic,Application,Organization,Group Study,Average
25,35,2.84,6,1,9,8,Auditory,Analysis,Memory,Solo Study,Average
28,23,3.9,9,3,7,8,Visual,Application,Organization,Solo Study,Good
26,31,3.1,6,3,6,8,Visual,Evaluation,Organization,Classroom Learning,Average
22,14,3.49,6,4,7,9,Auditory,Comprehension,Organization,Solo Study,Average
18,30,3.0,6,2,8,7,Reading/Writing,Analysis,Organization,Solo Study,Average
20,23,2.84,7,3,8,7,Visual,Application,Memory,Group Study,Average
27,7,3.17,9,3,8,7,Visual,Analysis,Attention,Online Learning,Average
29,17,3.74,6,1,9,8,Reading/Writing,Analysis,Focus,Classroom Learning,Average
25,32,3.13,9,1,7,8,Reading/Writing,Application,Organization,Solo Study,Average
28,24,3.06,7,2,8,7,Kinesthetic,Analysis,Attention,Classroom Learning,Average
23,32,3.06,6,3,6,8,Reading/Writing,Comprehension,Attention,Group Study,Average
25,12,3.42,8,3,8,7,Auditory,Evaluation,Memory,Solo Study,Average
26,5,3.97,7,1,8,7,Auditory,Evaluation,Attention,Group Study,Average
21,7,3.35,8,3,8,7,Kinesthetic,Comprehension,Memory,Classroom Learning,Average
18,17,3.47,9,4,9,7,Visual,Analysis,Organization,Group Study,Good
18,32,3.83,9,1,6,7,Visual,Application,Organization,Classroom Learning,Excellent
27,29,3.44,7,2,7,7,Reading/Writing,Analysis,Focus,Group Study,Average
21,37,3.02,9,1,6,7,Auditory,Comprehension,Focus,Classroom Learning,Average
29,10,3.16,8,3,7,8,Visual,Analysis,Focus,Online Learning,Average
24,36,3.17,6,2,9,7,Kinesthetic,Evaluation,Attention,Group Study,Average
19,25,3.28,6,1,9,7,Kinesthetic,Analysis,Organization,Group Study,Average
20,20,3.31,6,4,9,8,Auditory,Comprehension,Memory,Online Learning,Average
18,25,3.76,7,4,9,8,Kinesthetic,Evaluation,Focus,Online Learning,Average
22,15,3.22,9,1,7,8,Kinesthetic,Analysis,Memory,Group Study,Average
18,39,3.36,8,4,8,7,Auditory,Analysis,Memory,Online Learning,Good
25,23,3.55,9,4,7,9,Reading/Writing,Evaluation,Focus,Solo Study,Good
18,24,3.25,9,4,6,9,Reading/Writing,Application,Organization,Classroom Learning,Good
28,22,3.8,9,2,9,8,Kinesthetic,Evaluation,Focus,Classroom Learning,Good
18,18,3.5,6,4,9,9,Reading/Writing,Application,Memory,Classroom Learning,Average
19,19,3.15,8,4,6,8,Reading/Writing,Comprehension,Focus,Solo Study,Average
19,35,3.66,8,4,7,7,Kinesthetic,Comprehension,Memory,Online Learning,Good
29,5,3.43,9,2,8,9,Reading/Writing,Evaluation,Memory,Online Learning,Average
23,7,3.44,6,1,8,7,Kinesthetic,Evaluation,Focus,Group Study,Average
24,20,3.38,6,3,6,9,Visual,Comprehension,Attention,Online Learning,Average
22,27,3.4,8,4,8,7,Auditory,Application,Focus,Group Study,Good
18,15,3.72,6,1,7,9,Auditory,Comprehension,Attention,Solo Study,Average
18,16,2.92,6,4,7,7,Reading/Writing,Evaluation,Memory,Classroom Learning,Average
20,14,3.2,6,2,6,7,Reading/Writing,Comprehension,Memory,Classroom Learning,Average
19,36,2.89,7,1,7,9,Reading/Writing,Evaluation,Attention,Classroom Learning,Average
22,20,3.7,9,2,9,7,Auditory,Evaluation,Memory,Online Learning,Good
29,12,3.13,8,4,6,7,Visual,Comprehension,Attention,Group Study,Average
27,16,3.88,8,4,7,7,Visual,Application,Attention,Group Study,Good
23,28,3.43,7,2,6,9,Auditory,Analysis,Memory,Solo Study,Average
24,32,3.76,9,3,8,9,Visual,Comprehension,Organization,Online Learning,Excellent
21,12,3.97,8,2,7,7,Auditory,Analysis,Attention,Solo Study,Average
24,32,3.81,6,4,9,7,Visual,Comprehension,Focus,Group Study,Average
28,30,3.84,8,2,7,9,Kinesthetic,Analysis,Focus,Group Study,Good
25,12,3.29,6,3,6,9,Kinesthetic,Application,Memory,Classroom Learning,Average
28,32,3.46,7,2,6,7,Auditory,Application,Organization,Online Learning,Average
18,32,3.1,6,3,7,7,Visual,Comprehension,Memory,Group Study,Average
23,31,3.04,8,3,9,7,Reading/Writing,Evaluation,Organization,Classroom Learning,Average
25,21,3.41,8,2,9,8,Visual,Analysis,Attention,Online Learning,Good
22,13,3.51,8,2,9,9,Kinesthetic,Evaluation,Attention,Solo Study,Average
21,37,3.21,7,1,6,8,Kinesthetic,Evaluation,Attention,Online Learning,Average
19,24,3.48,7,4,7,9,Visual,Evaluation,Attention,Online Learning,Average
23,17,3.86,9,3,8,9,Visual,Application,Focus,Group Study,Good
23,32,3.47,8,1,6,9,Reading/Writing,Comprehension,Focus,Group Study,Good
28,33,3.66,6,2,9,9,Reading/Writing,Comprehension,Memory,Online Learning,Average
18,17,3.77,7,4,7,9,Visual,Application,Organization,Group Study,Average
26,39,3.99,8,1,9,9,Visual,Application,Attention,Group Study,Good
29,10,3.52,8,3,8,9,Visual,Comprehension,Attention,Group Study,Average
28,22,3.77,7,1,9,8,Visual,Evaluation,Organization,Classroom Learning,Average
23,9,3.96,9,3,9,7,Auditory,Analysis,Organization,Classroom Learning,Average
20,29,3.93,7,2,8,7,Visual,Analysis,Memory,Online Learning,Average
21,6,2.97,7,4,7,8,Reading/Writing,Analysis,Organization,Group Study,Average
29,14,3.29,6,4,6,8,Kinesthetic,Evaluation,Attention,Classroom Learning,Average
28,34,3.19,6,4,7,8,Auditory,Comprehension,Attention,Online Learning,Average
21,9,2.9,9,2,8,8,Visual,Application,Attention,Group Study,Average
20,37,3.56,8,3,9,9,Kinesthetic,Comprehension,Attention,Solo Study,Good
27,5,3.68,7,2,7,7,Auditory,Evaluation,Attention,Group Study,Average
20,22,3.82,9,4,6,9,Kinesthetic,Application,Memory,Group Study,Good
20,36,2.95,6,2,8,7,Visual,Evaluation,Attention,Classroom Learning,Average
21,15,3.85,7,2,7,7,Visual,Analysis,Memory,Online Learning,Average
24,25,3.57,8,2,6,8,Reading/Writing,Analysis,Attention,Online Learning,Good
21,30,3.64,6,3,8,9,Visual,Evaluation,Focus,Classroom Learning,Average
26,29,3.89,6,1,6,8,Visual,Application,Focus,Group Study,Average
18,26,3.55,6,1,8,9,Auditory,Application,Focus,Solo Study,Average
25,31,3.2,9,2,9,7,Reading/Writing,Comprehension,Focus,Group Study,Average
24,17,3.79,8,1,7,8,Auditory,Analysis,Memory,Group Study,Good
19,37,3.24,7,1,6,8,Kinesthetic,Comprehension,Memory,Solo Study,Average
25,38,2.84,9,2,8,7,Visual,Comprehension,Organization,Classroom Learning,Average
18,39,3.8,9,2,6,7,Kinesthetic,Evaluation,Attention,Online Learning,Excellent
28,5,3.21,9,4,6,7,Auditory,Evaluation,Focus,Classroom Learning,Average
29,25,3.73,6,1,7,8,Visual,Comprehension,Memory,Classroom Learning,Average
26,10,3.24,8,3,9,9,Visual,Analysis,Attention,Group Study,Average
26,32,3.83,9,2,6,8,Auditory,Evaluation,Attention,Online Learning,Excellent
19,21,3.06,7,4,8,9,Auditory,Comprehension,Memory,Online Learning,Average
24,9,3.97,8,3,8,8,Auditory,Comprehension,Focus,Classroom Learning,Average
27,35,3.74,7,1,9,8,Auditory,Comprehension,Organization,Solo Study,Average
20,9,2.94,8,4,8,7,Auditory,Comprehension,Attention,Classroom Learning,Average
24,7,3.48,7,2,9,9,Visual,Comprehension,Organization,Solo Study,Average
29,27,3.98,6,3,8,8,Auditory,Comprehension,Focus,Online Learning,Average
27,14,3.37,9,2,7,8,Visual,Evaluation,Focus,Classroom Learning,Average
26,14,3.02,7,1,6,7,Visual,Analysis,Organization,Group Study,Average
21,23,3.38,8,3,7,7,Auditory,Comprehension,Focus,Classroom Learning,Good
29,21,3.41,9,1,6,9,Auditory,Application,Attention,Online Learning,Good
18,25,3.69,9,1,6,8,Reading/Writing,Evaluation,Organization,Group Study,Good
19,18,3.64,8,4,6,9,Visual,Evaluation,Focus,Group Study,Good
18,13,3.28,7,2,7,8,Auditory,Comprehension,Organization,Solo Study,Average
29,5,3.06,6,3,6,9,Auditory,Evaluation,Attention,Group Study,Average
22,17,3.57,6,1,7,7,Auditory,Comprehension,Focus,Group Study,Average
22,8,3.31,7,1,9,8,Reading/Writing,Analysis,Attention,Classroom Learning,Average
28,5,2.96,9,3,8,9,Reading/Writing,Analysis,Focus,Online Learning,Average
24,36,3.88,9,1,8,7,Kinesthetic,Evaluation,Memory,Solo Study,Excellent
26,38,3.63,9,4,6,7,Visual,Evaluation,Focus,Classroom Learning,Good
26,32,3.62,9,4,7,9,Kinesthetic,Application,Organization,Group Study,Good
20,35,3.79,7,4,8,8,Auditory,Evaluation,Focus,Group Study,Average
20,12,3.44,9,4,7,8,Reading/Writing,Application,Attention,Solo Study,Average
20,30,3.78,8,1,7,7,Reading/Writing,Analysis,Attention,Online Learning,Good
21,38,3.4,9,3,6,8,Kinesthetic,Analysis,Focus,Solo Study,Good
25,7,2.88,6,3,8,8,Reading/Writing,Comprehension,Organization,Classroom Learning,Average
23,16,3.29,9,3,6,8,Auditory,Analysis,Memory,Solo Study,Good
25,5,3.4,7,3,6,7,Reading/Writing,Application,Organization,Group Study,Average
18,9,3.66,6,2,8,9,Kinesthetic,Evaluation,Memory,Classroom Learning,Average
25,34,2.93,7,3,8,8,Auditory,Comprehension,Attention,Group Study,Average
21,34,2.97,7,2,9,7,Kinesthetic,Application,Organization,Online Learning,Average
28,21,3.12,6,2,9,7,Reading/Writing,Evaluation,Memory,Group Study,Average
18,27,3.12,7,4,7,9,Kinesthetic,Comprehension,Focus,Group Study,Average
25,19,3.68,7,2,8,8,Kinesthetic,Analysis,Attention,Solo Study,Average
21,25,3.1,9,1,9,8,Visual,Application,Focus,Group Study,Average
23,18,3.56,8,2,7,9,Reading/Writing,Evaluation,Attention,Classroom Learning,Good
25,6,3.39,7,4,7,9,Reading/Writing,Comprehension,Organization,Classroom Learning,Average
21,15,3.49,7,2,7,7,Kinesthetic,Comprehension,Organization,Online Learning,Average
20,38,3.81,7,1,9,7,Visual,Analysis,Attention,Classroom Learning,Average
26,38,3.29,9,1,8,9,Reading/Writing,Evaluation,Attention,Solo Study,Good
20,22,3.73,8,1,6,8,Auditory,Analysis,Attention,Online Learning,Good
26,34,3.31,6,4,7,7,Kinesthetic,Analysis,Organization,Classroom Learning,Average
19,19,3.22,9,4,9,7,Reading/Writing,Evaluation,Memory,Solo Study,Good
19,31,3.95,9,3,9,8,Auditory,Evaluation,Focus,Classroom Learning,Excellent
19,38,3.02,8,4,6,7,Reading/Writing,Evaluation,Focus,Classroom Learning,Average
23,37,2.91,8,1,6,8,Auditory,Application,Organization,Group Study,Average
20,28,3.73,9,1,9,8,Kinesthetic,Evaluation,Focus,Classroom Learning,Excellent
26,19,2.88,6,4,8,8,Reading/Writing,Comprehension,Attention,Classroom Learning,Average
21,34,3.8,9,2,6,9,Reading/Writing,Analysis,Memory,Solo Study,Excellent
18,21,3.32,8,4,9,9,Visual,Application,Focus,Solo Study,Good
21,9,3.9,6,4,6,9,Kinesthetic,Evaluation,Memory,Group Study,Average
18,33,3.67,8,1,8,8,Auditory,Application,Attention,Classroom Learning,Good
22,8,3.53,6,3,7,8,Reading/Writing,Evaluation,Focus,Group Study,Average
21,14,3.94,7,1,6,9,Reading/Writing,Application,Organization,Classroom Learning,Average
25,21,3.28,8,3,8,7,Auditory,Analysis,Memory,Online Learning,Good
25,14,3.94,8,1,9,8,Kinesthetic,Analysis,Attention,Online Learning,Average
24,21,2.96,9,4,6,7,Visual,Comprehension,Memory,Group Study,Average
20,24,3.38,8,1,6,7,Visual,Comprehension,Focus,Group Study,Good
18,28,3.12,8,1,9,8,Reading/Writing,Evaluation,Focus,Group Study,Average
18,9,3.45,7,1,7,8,Auditory,Analysis,Organization,Solo Study,Average
29,38,2.99,8,4,9,7,Reading/Writing,Application,Attention,Solo Study,Average
28,10,3.81,7,4,6,7,Auditory,Application,Attention,Solo Study,Average
20,6,3.82,7,4,9,9,Visual,Application,Organization,Group Study,Average
